age,sex_male,marriage,income,hb_b_psu,hb_b_pse,hb_b_pbe,hb_b_pba,hb_b_se,hb_a_psu,hb_a_pse,hb_a_pbe,hb_a_pba,hb_a_se,afra1,afra2,be_01,be_02,be_03,be_04,be_05,be_06,be_07,be_08,be_09,be_10,be_11,be_12,be_13,be_14,be_15,be_16,be_17,be_18,be_19,be_20,fnp,ftv,fra,fws,fsm,fmp,confi_gov,confi_hos,confi_wor,confi_media,hmtime,fear_sum,be_sum,risk_sum,selfeff_sum,fear_mean,be_mean,risk_mean,selfeff_mean
2,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,4,3,3,2,4,0,4,4,3,4,0,3,2,4,4,2,2,2,2,2,3,2,0,4,0,0,0,1,1,1,4,3,54,0,0,1.5,2.5714285714285716,0.0,0.0
3,0,2,3,1,1,1,1,1,1,1,1,-1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,0,4,1,2,2,2,1,5,80,4,3,2.5,3.8095238095238093,1.0,0.6
2,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,4,3,3,2,4,0,4,4,3,4,0,3,2,4,4,2,2,2,2,2,3,2,0,4,0,0,0,1,1,1,4,3,54,0,0,1.5,2.5714285714285716,0.0,0.0
2,0,1,1,1,1,-1,1,1,-2,-2,-2,2,2,2,3,4,4,4,4,4,0,4,4,4,4,0,4,2,4,4,3,1,4,4,4,3,2,1,4,0,2,1,2,3,0,1,5,66,-2,5,2.5,3.142857142857143,-0.5,1.0
3,1,2,4,-1,0,2,-1,2,-1,1,-2,1,2,2,2,4,3,4,4,4,0,4,4,4,0,2,4,4,4,2,4,4,3,4,4,2,1,1,4,1,0,2,1,1,1,1,4,66,-1,7,2.0,3.142857142857143,-0.25,1.4
2,0,1,4,0,-1,-1,-1,1,-1,-1,1,1,2,1,2,3,3,3,3,3,0,2,2,3,4,0,2,3,3,4,1,0,3,4,4,2,3,0,4,2,0,1,1,3,3,1,3,50,-3,2,1.5,2.380952380952381,-0.75,0.4
2,0,2,3,-2,-2,-2,-2,0,-2,-2,-2,2,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,3,3,3,3,1,1,0,-8,-4,0.5,0.0,-2.0,-0.8
2,0,2,4,0,-1,1,-1,0,0,0,0,0,0,1,3,4,4,4,4,4,0,4,4,4,3,1,4,3,4,4,3,1,3,4,4,3,3,3,3,3,3,1,1,2,1,1,4,66,-1,0,2.0,3.142857142857143,-0.25,0.0
3,0,2,4,-1,-2,-1,-1,-1,-1,-1,-1,1,-1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,80,-5,-4,0.5,3.8095238095238093,-1.25,-0.8
3,1,2,3,1,0,1,1,1,0,-1,-1,-1,-1,2,3,1,3,2,3,4,2,4,4,4,4,2,3,2,3,2,2,1,4,3,3,2,3,1,3,4,1,0,1,2,2,3,5,56,0,0,2.5,2.6666666666666665,0.0,0.0
2,1,1,4,-1,0,2,-2,2,1,1,1,2,1,1,2,4,4,3,4,2,0,4,4,3,2,0,4,3,4,4,4,2,1,4,3,4,4,4,4,0,2,0,1,3,2,2,3,59,1,7,1.5,2.8095238095238093,0.25,1.4
2,0,1,4,0,-1,2,0,0,0,0,1,0,0,1,2,3,4,4,4,3,0,4,1,2,2,1,2,2,3,4,2,1,3,0,2,2,3,1,4,4,1,1,2,2,1,1,3,47,-1,1,1.5,2.238095238095238,-0.25,0.2
